Date,AAPL,GOOGL,MSFT
2020-12-17,126.30530548095703,86.92573547363281,213.28697204589844
2020-12-18,124.30329132080078,86.21205139160156,212.4801483154297
2020-12-21,125.84405517578125,86.62857055664062,216.3683319091797
2020-12-22,129.4261474609375,85.91239929199219,217.6806182861328
2020-12-23,128.52325439453125,86.31243896484375,214.8422393798828
2020-12-24,129.51446533203125,86.60859680175781,216.5238800048828
2020-12-28,134.1466522216797,88.5963134765625,218.6720733642578
2020-12-29,132.36045837402344,87.78724670410156,217.88475036621094
2020-12-30,131.23190307617188,86.71298217773438,215.4837646484375
2020-12-31,130.22108459472656,87.53154754638672,216.2030792236328
2021-01-04,127.00210571289062,86.20756530761719,211.60531616210938
2021-01-05,128.5723419189453,86.90276336669922,211.8094482421875
2021-01-06,124.244384765625,86.04524230957031,206.31736755371094
2021-01-07,128.48399353027344,88.61530303955078,212.18850708007812
2021-01-08,129.59295654296875,89.7884521484375,213.4813690185547
2021-01-11,126.58012390136719,87.71382904052734,211.41091918945312
2021-01-12,126.40345001220703,86.77191162109375,208.9224395751953
2021-01-13,128.4545440673828,87.2623519897461,210.2930450439453
2021-01-14,126.51143646240234,86.44678497314453,207.06585693359375
2021-01-15,124.77433013916016,86.28197479248047,206.70619201660156
2021-01-19,125.45149993896484,89.1212158203125,210.3902130126953
2021-01-20,129.57333374023438,93.89573669433594,218.06942749023438
2021-01-21,134.32327270507812,94.09950256347656,218.68182373046875
2021-01-22,136.48236083984375,94.51951599121094,219.63441467285156
2021-01-25,140.2607421875,94.60541534423828,223.1143798828125
2021-01-26,140.49627685546875,95.28813934326172,225.8361053466797
2021-01-27,139.41671752929688,90.84274291992188,226.39015197753906
2021-01-28,134.5391845703125,92.55377960205078,232.2516326904297
2021-01-29,129.50465393066406,91.26325225830078,225.47642517089844
2021-02-01,131.6440887451172,94.54499816894531,232.9514617919922
2021-02-02,132.47830200195312,95.84600067138672,232.81541442871094
2021-02-03,131.44784545898438,102.82598876953125,236.2078857421875
2021-02-04,134.83358764648438,102.56378936767578,235.24551391601562
2021-02-05,134.4158935546875,104.32176971435547,235.43020629882812
2021-02-08,134.56332397460938,104.10651397705078,235.6927032470703
2021-02-09,133.67874145507812,103.65054321289062,236.95631408691406
2021-02-10,133.06936645507812,104.20440673828125,236.03289794921875
2021-02-11,132.8138427734375,104.3177719116211,237.6562042236328
2021-02-12,133.04969787597656,104.63141632080078,238.14224243164062
2021-02-16,130.90707397460938,105.41402435302734,236.8883056640625
2021-02-17,128.59739685058594,105.80956268310547,237.92103576660156
2021-02-18,127.48675537109375,105.16979217529297,237.5215606689453
2021-02-19,127.64398193359375,104.32077026367188,234.7740936279297
2021-02-22,123.84033203125,102.59525299072266,228.48016357421875
2021-02-23,123.70274353027344,102.8879165649414,227.27207946777344
2021-02-24,123.20146179199219,104.07106018066406,228.51914978027344
2021-02-25,118.91620635986328,100.68194580078125,223.1020965576172
2021-02-26,119.18156433105469,100.97960662841797,226.40496826171875
2021-03-01,125.59965515136719,103.36437225341797,230.8477020263672
2021-03-02,122.97541046142578,103.10566711425781,227.8566436767578
2021-03-03,119.96785736083984,100.45520782470703,221.70889282226562
2021-03-04,118.07093811035156,101.57991790771484,220.90020751953125
2021-03-05,119.33882141113281,104.7332992553711,225.64501953125
2021-03-08,114.36555480957031,100.25993347167969,221.54327392578125
2021-03-09,119.01448059082031,101.90104675292969,227.76893615722656
2021-03-10,117.92352294921875,101.69278717041016,226.44393920898438
2021-03-11,119.86958312988281,104.90660095214844,231.03280639648438
2021-03-12,118.95551300048828,102.38249969482422,229.68829345703125
2021-03-15,121.86476135253906,102.60424041748047,228.7724609375
2021-03-16,123.4177017211914,104.07505798339844,231.59791564941406
2021-03-17,122.62157440185547,103.99165344238281,230.9451141357422
2021-03-18,118.4640884399414,100.95114135742188,224.7876434326172
2021-03-19,117.93334197998047,101.23181915283203,224.4271697998047
2021-03-22,121.27505493164062,101.41810607910156,229.922119140625
2021-03-23,120.43963623046875,101.94949340820312,231.47125244140625
2021-03-24,118.03162384033203,101.51000213623047,229.40576171875
2021-03-25,118.52305603027344,101.50650024414062,226.36598205566406
2021-03-26,119.13241577148438,101.12044525146484,230.39952087402344
2021-03-29,119.30934143066406,102.17223358154297,229.19142150878906
2021-03-30,117.84490203857422,102.2061996459961,225.88858032226562
2021-03-31,120.05632019042969,103.00778198242188,229.70779418945312
2021-04-01,120.8917465209961,106.3669204711914,236.11859130859375
2021-04-05,123.74205780029297,110.82080841064453,242.66580200195312
2021-04-06,124.04673767089844,110.33636474609375,241.4869384765625
2021-04-07,125.707763671875,111.82315826416016,243.47442626953125
2021-04-08,128.12562561035156,112.39250946044922,246.73834228515625
2021-04-09,130.72036743164062,113.40335083007812,249.27149963378906
2021-04-12,128.99050903320312,112.10234069824219,249.32994079589844
2021-04-13,132.1258544921875,112.59227752685547,251.84361267089844
